[[0.82136406 1.64791843        nan 0.        ]
 [0.         0.442919   0.82785871 0.        ]
 [0.         0.         0.3050718  0.        ]
 [0.         0.         0.         0.        ]]
         52684456 function calls (52682107 primitive calls) in 41.168 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
      159    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
     1054    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      161    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
        8    0.000    0.000    0.000    0.000 hashlib.py:73(__get_builtin_constructor)
        1    0.000    0.000    0.000    0.000 argparse.py:62(<module>)
      531    0.000    0.000    0.000    0.000 sre_parse.py:164(__getitem__)
      349    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
        1    0.000    0.000    0.000    0.000 polynomial.py:4(<module>)
    94/36    0.000    0.000    0.000    0.000 sre_parse.py:174(getwidth)
        4    0.000    0.000    0.000    0.000 core.py:123(doc_note)
        2    0.000    0.000    0.000    0.000 enum.py:134(__new__)
      752    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
      422    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        6    0.000    0.000    0.000    0.000 old.py:254(<listcomp>)
      164    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        4    0.000    0.000    0.000    0.000 re.py:205(split)
        1    0.000    0.000    0.000    0.000 fnmatch.py:48(filter)
       10    0.000    0.000    0.000    0.000 numeric.py:2656(seterr)
      451    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
       39    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
       19    0.000    0.000    0.000    0.000 _add_newdocs.py:6819(add_newdoc_for_scalar_type)
        1    0.000    0.000    0.000    0.000 fnmatch.py:38(_compile_pattern)
       30    0.000    0.000    0.000    0.000 getlimits.py:43(<lambda>)
       51    0.000    0.000    0.000    0.000 _internal.py:840(_ufunc_doc_signature_formatter)
        1    0.000    0.000    0.000    0.000 arrayprint.py:707(_formatArray)
     21/1    0.000    0.000    0.000    0.000 arrayprint.py:716(recurser)
       15    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      451    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
        4    0.000    0.000    0.000    0.000 textwrap.py:414(dedent)
        5    0.000    0.000    0.000    0.000 numeric.py:3063(__exit__)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
       10    0.000    0.000    0.000    0.000 numeric.py:2758(geterr)
       27    0.000    0.000    0.000    0.000 core.py:919(__init__)
        1    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
       23    0.000    0.000    0.000    0.000 enum.py:815(__and__)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:115(_add_aliases)
       44    0.000    0.000    0.000    0.000 _inspect.py:98(getargspec)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:359(_get_scalar_type_map)
        1    0.000    0.000    0.000    0.000 ast.py:26(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:370(<dictcomp>)
       21    0.000    0.000    0.000    0.000 functools.py:37(update_wrapper)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
        1    0.000    0.000    0.000    0.000 tokenize.py:443(open)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
        1    0.000    0.000    0.000    0.000 struct.py:3(<module>)
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
       18    0.000    0.000    0.000    0.000 core.py:995(__init__)
     1021    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      262    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
      835    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
      131    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
      159    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
        5    0.000    0.000    0.000    0.000 {built-in method nt.putenv}
        2    0.000    0.000    0.000    0.000 glob.py:114(_iterdir)
      298    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
       16    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
      146    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
       58    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        4    0.000    0.000    0.000    0.000 re.py:185(sub)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
