[[0.82136406 1.64791843        nan 0.        ]
 [0.         0.442919   0.82785871 0.        ]
 [0.         0.         0.3050718  0.        ]
 [0.         0.         0.         0.        ]]
         54075180 function calls (54056820 primitive calls) in 39.747 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      821    0.001    0.000    0.003    0.000 ntpath.py:201(splitext)
        1    0.000    0.000    0.003    0.003 prefilter.py:7(<module>)
       25    0.000    0.000    0.003    0.000 pyparsing.py:1250(setParseAction)
       27    0.000    0.000    0.003    0.000 pyparsing.py:1039(_trim_arity)
        1    0.000    0.000    0.003    0.003 shortcuts.py:1(<module>)
     1349    0.001    0.000    0.003    0.000 inspect.py:642(getfile)
        1    0.000    0.000    0.003    0.003 events.py:1(<module>)
        1    0.000    0.000    0.003    0.003 old_build_ext.py:188(build_extensions)
      471    0.001    0.000    0.003    0.000 copy.py:66(copy)
      558    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
        1    0.003    0.003    0.003    0.003 scimath.py:17(<module>)
       26    0.000    0.000    0.003    0.000 pyparsing.py:1047(extract_stack)
        1    0.000    0.000    0.003    0.003 build_ext.py:193(build_extension)
