yeah
blue
zalut
         31283971 function calls (31281577 primitive calls) in 28.700 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       53    0.000    0.000    0.000    0.000 core.py:892(__init__)
        1    0.000    0.000    0.000    0.000 warnings.py:106(_formatwarnmsg)
        1    0.000    0.000    0.000    0.000 warnings.py:35(_formatwarnmsg_impl)
        2    0.000    0.000    0.000    0.000 enum.py:388(_create_)
        1    0.000    0.000    0.000    0.000 linecache.py:15(getline)
        1    0.000    0.000    0.000    0.000 linecache.py:37(getlines)
      568    0.000    0.000    0.000    0.000 sre_parse.py:254(get)
        1    0.000    0.000    0.000    0.000 linecache.py:82(updatecache)
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
        1    0.000    0.000    0.000    0.000 pickle.py:181(<listcomp>)
       13    0.000    0.000    0.000    0.000 functions.py:77(<listcomp>)
     3554    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      102    0.000    0.000    0.000    0.000 re.py:170(match)
        1    0.000    0.000    0.000    0.000 argparse.py:62(<module>)
        4    0.000    0.000    0.000    0.000 {built-in method io.open}
       14    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
        1    0.000    0.000    0.000    0.000 polynomial.py:4(<module>)
        4    0.000    0.000    0.000    0.000 core.py:123(doc_note)
      143    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
      714    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
        2    0.000    0.000    0.000    0.000 enum.py:134(__new__)
        4    0.000    0.000    0.000    0.000 re.py:205(split)
      429    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
      480    0.000    0.000    0.000    0.000 sre_parse.py:164(__getitem__)
      444    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      173    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
        1    0.000    0.000    0.000    0.000 arrayprint.py:5(<module>)
       39    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
    84/31    0.000    0.000    0.000    0.000 sre_parse.py:174(getwidth)
      172    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
     1150    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      176    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      374    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
       30    0.000    0.000    0.000    0.000 getlimits.py:43(<lambda>)
       19    0.000    0.000    0.000    0.000 _add_newdocs.py:6819(add_newdoc_for_scalar_type)
       14    0.000    0.000    0.000    0.000 hashlib.py:116(__get_openssl_constructor)
        4    0.000    0.000    0.000    0.000 textwrap.py:414(dedent)
      490    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
       51    0.000    0.000    0.000    0.000 _internal.py:840(_ufunc_doc_signature_formatter)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
